index,abs_eigenvalue
210,0.05979013049511536
211,0.05381158204091418
212,0.04980336976332003
213,0.04821421350224157
214,0.04651364482269115
215,0.04352558429244318
216,0.042217578213349254
217,0.04060990866622735
218,0.03726659656181835
219,0.034713580254041025
220,0.03171201127927702
221,0.02935017647954665
222,0.02739975249898914
223,0.02216869589103078
224,0.02081238326725652
225,0.017750805166657575
226,0.013555283264070236
227,0.01318204800301559
228,0.010820572266646752
229,0.009433997802373235
230,0.007891468977797703
231,0.00555758448268432
232,0.003981846107326499
233,6.955094587991848e-17
234,9.370657773649183e-17
235,2.328010367347061e-16
236,4.3812248837462246e-16
237,0.0008239823234865862
238,0.00269740186733124
239,0.005935381133265554
240,0.007022064626184556
241,0.008577990074448542
242,0.011900189059910025
243,0.012404386673685555
244,0.016250792220488777
245,0.018045342248063277
246,0.021086942876422776
247,0.021515161497429904
248,0.024197137262595547
249,0.025175801397848314
250,0.028427088590380782
251,0.031052393269975363
252,0.03357209527778311
253,0.03405165885752769
254,0.03869276808459907
255,0.04049518592780885
256,0.04442529123038586
257,0.04573499650619987
258,0.04904219722481521
259,0.049945009753875655
260,0.05178064089330658
261,0.05544721116280283
262,0.05996239596710706
263,0.06121511034828293
264,0.06344155582711368
265,0.06783869782959377
266,0.06861552774346213
267,0.07205869013786914
268,0.0743103317396478
269,0.0756435541754906
270,0.0762479495996865
271,0.08035550696731342
272,0.08341798991513147
273,0.08485754336869421
274,0.08597291562279101
275,0.08932384335356292
276,0.09264747228447309
277,0.09814745780106782
278,0.0992805135733194
279,0.10092147423912128
280,0.10211748698848842
281,0.10480303998833522
282,0.10732689195194517
283,0.1106141660674991
284,0.11220255915168026
285,0.11558997195671429
286,0.12104487141267925
287,0.12161087104702527
288,0.12253905880298732
289,0.12545395941472356
290,0.12785269298765264
291,0.13112289240874908
292,0.135314861031934
293,0.13830632697913314
294,0.13892441720402313
295,0.1398723973973724
296,0.14522820847252457
297,0.14583640820917296
298,0.15130485773118563
299,0.15304071400394484
300,0.15565121229932097
301,0.15698512497202127
302,0.16005779953655475
303,0.1623754037810494
304,0.16467247183417655
305,0.16987166806470064
306,0.1712839412361177
307,0.17551542673197792
308,0.17677318520598823
309,0.17886364407468947
310,0.1817072382531528
311,0.18285128420890356
312,0.18455911190225963
313,0.18917145405605112
314,0.19118356324672928
315,0.19381663037475522
316,0.19695296446237667
317,0.19931719383432792
318,0.20051344234206908
319,0.20270129035377946
320,0.20515044021612147
321,0.21165815123659912
322,0.2176590807068646
323,0.2183181442731451
324,0.22103292793280888
325,0.22227590368117808
326,0.22565655783848843
327,0.22991617095521144
328,0.2334958407505303
329,0.23451364895608506
330,0.2379132243737366
331,0.23991913919326197
332,0.24312598670849733
333,0.24541029702015812
334,0.24870597870032934
335,0.25053802329597963
336,0.2539132963925269
337,0.2576179605399104
338,0.2601004712449502
339,0.26412419488184796
340,0.26504132717626405
341,0.26937554857797513
342,0.27436697718067177
343,0.2768935154734195
344,0.2812942943974251
345,0.2835285222043471
346,0.28698461426192007
347,0.2915876672136858
348,0.29209080117030506
349,0.2962320910916787
350,0.2980589406458122
351,0.3002320950920504
352,0.3052169390139814
353,0.30775662962201145
354,0.31265741980370293
355,0.31442181562367677
356,0.31855047482027865
357,0.32580586186628524
358,0.32850386079120186
359,0.3313387448454379
360,0.33542876860059934
361,0.3393586877312226
362,0.3417508812693043
363,0.34371539920190186
364,0.3449627997264503
365,0.34968686313453307
366,0.3526937680453079
367,0.3570375423016327
368,0.35872048206583623
369,0.35921764476733065
370,0.36303835992370165
371,0.36903934741430483
372,0.37074136318324646
373,0.3761893777668546
374,0.3799365469259082
375,0.3841296994700347
376,0.3855730484653199
377,0.3891539565828399
378,0.39076584450841767
379,0.3949094941453452
380,0.3999175247498904
381,0.4034824612290447
382,0.4076719962715548
383,0.41601504904820336
384,0.4171745948811109
385,0.4259565151797594
386,0.42677160213147886
387,0.4286227313561729
388,0.43103104000689874
389,0.43602943272251776
390,0.4383124187409242
391,0.4426484567576512
392,0.44374235149290525
393,0.4468717384544545
394,0.45172817416974886
395,0.45675909615359733
396,0.46052691473132706
397,0.46755193055502803
398,0.47135642358474417
399,0.47350303866041443
400,0.4781897299588382
401,0.4820263447416561
402,0.48520232376549827
403,0.49355604028445027
404,0.5027847567823739
405,0.5066433678576715
406,0.5119794542361957
407,0.5172146268466458
408,0.5208092721738682
409,0.5240665560039695
410,0.5359815162668965
411,0.5434108221102224
412,0.5489356993724416
413,0.5504139290945356
414,0.5519173556164435
415,0.5635996743648148
416,0.5666149010950517
417,0.5719479661197144
