date,zero,persistence,ridge,raw_zero,alpha
2005-02-08,0.0,0.3112571270990787,0.2007550722062108,0.0,100.0
2005-03-10,0.0,-0.030612618249918677,0.1290639882989021,0.0,100.0
2005-04-11,0.0,0.2324860660546758,0.1707661666389394,0.0,100.0
2005-05-10,0.0,0.2874654449949825,0.2654735588355417,0.0,100.0
2005-06-09,0.0,0.21170822081341656,0.2291609906823069,0.0,100.0
2005-07-11,0.0,-0.041537790146126685,0.08413572077418086,0.0,100.0
2005-08-09,0.0,0.15747294509358445,0.20007348461222485,0.0,100.0
2005-09-08,0.0,0.2392767354284182,0.2004258861260585,0.0,10.0
2005-10-07,0.0,0.22733955723051869,0.20055236867013004,0.0,100.0
2005-11-07,0.0,0.27246312534574435,0.2564342344404177,0.0,100.0
2005-12-07,0.0,0.3561571775655791,0.34332721710320246,0.0,10.0
2006-01-09,0.0,0.13806178616361875,0.1429368282585024,0.0,100.0
2006-02-08,0.0,0.38619767832189633,0.37730359538441194,0.0,100.0
2006-03-10,0.0,-0.008583253056974272,0.07180936494286261,0.0,100.0
2006-04-10,0.0,0.1868923476896166,0.18150870887828274,0.0,10.0
2006-05-10,0.0,0.3308195435860676,0.3151348217452987,0.0,10.0
2006-06-09,0.0,0.3038258347309273,0.32341897819538834,0.0,10.0
2006-07-11,0.0,0.14638721084593953,0.15284315369310564,0.0,10.0
2006-08-09,0.0,0.3201559517965896,0.32378955953028576,0.0,100.0
2006-09-08,0.0,0.33514798906808685,0.3376388048835125,0.0,100.0
2006-10-09,0.0,0.08906795324822447,0.049595876139072015,0.0,100.0
2006-11-07,0.0,0.457547649633512,0.4907222332785851,0.0,100.0
2006-12-07,0.0,0.15751988363637404,0.10949812698293582,0.0,100.0
2007-01-10,0.0,-0.29250718760608296,-0.40416663804178077,0.0,10.0
2007-02-09,0.0,0.2680364908810836,0.2592232423004026,0.0,100.0
2007-03-13,0.0,0.02796342555467679,0.058286360928143544,0.0,100.0
2007-04-12,0.0,-0.0018800881481901843,-0.020587970131869637,0.0,1.0
2007-05-11,0.0,-0.35820504934162534,-0.29738331084205805,0.0,100.0
2007-06-12,0.0,0.19233087160374474,0.2438840259534416,0.0,100.0
2007-07-12,0.0,0.1360499466964139,0.13582498396735243,0.0,100.0
2007-08-10,0.0,0.16725623393308542,0.15660717249138734,0.0,100.0
2007-09-11,0.0,-0.04552143938730513,-0.039247831790031995,0.0,100.0
2007-10-10,0.0,0.009812025036118888,0.017827033878854537,0.0,100.0
2007-11-08,0.0,0.21501955217087443,0.21050927297108368,0.0,100.0
2007-12-10,0.0,0.1808966158477333,0.17872715629544556,0.0,100.0
2008-01-10,0.0,0.11540019263367596,0.11170437206566564,0.0,100.0
2008-02-11,0.0,0.3208212373842173,0.3384877943397502,0.0,100.0
2008-03-12,0.0,0.24048010236091488,0.2559507514024484,0.0,100.0
2008-04-11,0.0,0.39476207765792215,0.46840522322451683,0.0,100.0
2008-05-12,0.0,0.4284501225380697,0.2810022307512495,0.0,100.0
2008-06-11,0.0,0.17427308029237643,0.11082332962870367,0.0,100.0
2008-07-11,0.0,0.22279799888670515,0.27086876605438515,0.0,10.0
2008-08-11,0.0,0.3418055001022714,0.3815461840317408,0.0,100.0
2008-09-10,0.0,0.1893407200983429,0.2588165841481599,0.0,100.0
2008-10-09,0.0,0.08674277658779539,0.11393393410902575,0.0,10.0
2008-11-07,0.0,0.18820819880501638,0.28442382895567764,0.0,100.0
2008-12-09,0.0,0.22626370112306138,0.10123710090155613,0.0,1000.0
2009-01-09,0.0,0.17410813471237951,-0.2071320350577499,0.0,100.0
2009-02-10,0.0,-0.07105774388371522,-0.4069309942990631,0.0,1000.0
2009-03-12,0.0,0.2902786356529681,0.2952358984258826,0.0,100.0
2009-04-13,0.0,0.29495003608254333,0.2852660445801881,0.0,1000.0
2009-05-12,0.0,-0.5475241431463389,-1.2591005398587494,0.0,1000.0
2009-06-11,0.0,0.49460036225307635,0.3651238730205354,0.0,1000.0
2009-07-13,0.0,0.5122711234143138,0.4940958580606868,0.0,100.0
2009-08-11,0.0,-0.1746149363021532,-0.36942756812168764,0.0,1000.0
2009-09-10,0.0,-0.4971903052584745,-0.5928951770350195,0.0,1000.0
2009-10-09,0.0,-0.9269734695904301,-0.9369354651265689,0.0,1000.0
2009-11-09,0.0,-2.6047542488915023,-2.535380723230797,0.0,1000.0
